Titulo Original,Transliteración,Titulo en Español,Editor/Director,Idioma,País,Lugar de Edición,Dirección,Editor,Tipo de Publicación,Año de inicio,Mes de Inicio,Día de Inicio,Año de Inicios,Inicio Modificador,Año de cese,Mes de Cese,Día de Cese,Año de Ceses,Cese Modificador,Frecuencia,Clasificación,Notas,Ubicación
La Tnua,,,,Español,Uruguay,Montevideo,,Vaada Tarbut de Macabi Tzair,Revista,octubre 1979,10,XX,1979,,,,,,/,,juventud,,Harvard
La Voz,,,,Español,Uruguay,Montevideo,,Nueva Congregación Israelita,,1992,XX,XX,1992,,1997,XX,XX,1997,,c/2 meses,comunitaria,antes se llamaba: Voz semanal de la Nueva Congregación Israelita de Montevideo,UCLA; Uflo; Harvard; HUC; Bib Nac Uruguay
La voz : noticias : revista judía de actualidad perteneciente a la Nueva Congregación israelita.,,,,Español,Uruguay,Montevideo,,Nueva Congregación Israelita,,2da epoca,,,,,,,,,,,,Continuación de : La voz / Nueva Congregación israelita.,Bib Nac Uruguay
La Voz de Israel,,tribuna judía independiente para América Latina  ,Mauricio Schvartzman - administrador; Nessim Isaac - director,Español,Uruguay,Montevideo,Luis de la Torre 633,,Diario,11 agosto 1950,08,11,1950,,,,,,/,weekly,,,NLI; Bib Nac Uruguay
Las gaviotas : publicación bimensual independiente,,,,Español,Uruguay,Montevideo,,,,1992,XX,XX,1992,,,,,,/,,,,Bib Nac Uruguay
Macabito 15,,,,Español,Uruguay,Montevideo,, Macabi Tzair,,1970s,XX,XX,197X,,,,,,/,,juventud sionista,,Harvard
Maj,,,,Español,Uruguay,Montevideo,,Movimientos de Alia Juvenil,,1980s,XX,XX,198X,,,,,,/,,juventud sionista,,Harvard
Marburgs Monats Merkblatt,,Memorandum mensual Marburg,Federico Marburg - ed,Alemán,Uruguay,Montevideo,,,Revista,1942,XX,XX,1942,,,,,,/,irregular,,,Harvard; BNU?
Menorah,,,,Español,Uruguay,Montevideo,,Federación Sefaradí Latinoamericana,,1976,XX,XX,1976,,,,,,/,,sefaradi,,Harvard
Mensaje : publicación del Comité Central Israelita del Uruguay,,,Moisés Gerber - director; Jorge Sztarcsevszky - redactor,Español,Uruguay,Montevideo,Rio Negro 1308,Comité Central Israelita del Uruguay,Revista,1974,XX,XX,1974,,1980s?,XX,XX,198X,,monthly,cultural,,NYPL; Harvard; UCLA; Center for Jewish History CJH (NY); NLI
Mitteilungsblatt der Synagogen-Gemeinde Montevideo,,,Mauricius Speyer - redactor,Alemán,Uruguay,Montevideo,Maldonado 1130,Comunidad Israelita de habla alemana en el Uruguay,Boletín,marzo 1938,03,XX,1938,,,,,,/,monthly,cultural,,NLI
Mizraji - Uruguay ,,,,Español,Uruguay,Montevideo,,Asociación Religiosa Mizraji - Hapoel Hamizraji,,1982,XX,XX,1982,,,,,,/,,,,Bib Nac Uruguay
Modiin : boetin informativo interno,,,Enrique Holchan - redactor,Español,Uruguay,Montevideo,Ibicuy 1278,Organización Sionista del Uruguay,Boletín,197?,XX,XX,197X,,,,,,/,,,,Harvard; BNU?
MOLEDET. Boletín oficial de la Asociación Juvenil Sionista.,,,,Español,Uruguay,Montevideo,,Asociación Juvenil Sionista,Boletín,marzo 1946,03,XX,1946,,,,,,/,,sionista,,Bib Nac Uruguay
Movimiento : la revista de Tagar,,,,Español,Uruguay,Montevideo,,,,1989,XX,XX,1989,,,,,,/,,,,Bib Nac Uruguay
Nitzanim,,,,,Uruguay,,,Hanoar Hatzioni,,mayo 1949,05,XX,1949,,,,,,/,,,,
Nosotros,,,Eduardo Lander - director; Ernesto Stolowicz - redactor,Español,Uruguay,Montevideo,Canelones 1084,Comunidad Israelita del Uruguay,Diario,mayo 1998,05,XX,1998,,,,,,/,quaterly,general,,Harvard; NLI
Noticias,,,,Español,Uruguay,Montevideo,,B'nai B'rith Distrito 28,Boletín,198?,XX,XX,198X,,,,,,/,,,,Harvard
Noticias del Comité Central Israelita : de y para la colectividad judia del Uruguay,,,,Español,Uruguay,Montevideo,,Comité Central Israelita del Uruguay,,septiembre 1971,09,XX,1971,,,,,,/,,,,NLI
Noticiero del congreso judío mundial en el Uruguay. Servicio informático,,,,Español,Uruguay,Montevideo,,,,1960?,XX,XX,1960,?,,,,,/,mensual o bimestral,,,Bib Nac Uruguay
Nuestra vida o Vida Nuestra?,,,Alfredo Junio - dir,Español,Uruguay,Montevideo,,,Boletín,1934,XX,XX,1934,,,,,,/,quincenal,sefaradi,,Bib Nac Uruguay
Nuestro amigo,,,,Español,Uruguay,Montevideo,,Colectividad Judío Progresista,,1988,XX,XX,1988,,,,,,/,,,,Bib Nac Uruguay
ORT te llama,,,L. Marus y A. Grodenas - redactores ,Español,Uruguay,Montevideo,Minas 1717,Alumnos de la Escuela Tecnica ORT,Revista,1949,XX,XX,1949,,,,,,/,,,,Harvard
Panorama,,,Herbert Billing Lowi - redactor,Español,Uruguay,Montevideo,Ituzaingo 1309/1,B'nai B'rith del Uruguay,Revista,abril 1984,04,XX,1984,,,,,,/,monthly,cultural,,"UCLA; Yale, LoC; Uflo; Harvard; HUC; NLI; Bib Nac Uruguay"
Presencia,,,,Español,Uruguay,Montevideo,,,,,,,,,,,,,/,,comunista,"tomado de American Jewish Year Book v.74 , 1973 p. 345",
Reconstrucción ,,,,,Uruguay,Montevideo,,Asociación de Israelitas Besarabianos en el Uruguay,,1945,XX,XX,1945,,,,,,/,,,,Bib Nac Uruguay
Revista familiar Israelita del Uruguay,,,Abraham Halpern - director,Español,Uruguay,Montevideo,,,Revista,1942,XX,XX,1942,,1956,XX,XX,XX,1956,biweekly,,,Harvard; HUC; LoC; Center for Jewish History CJH (NY); NLI; IWO
Revista Informativa del Talmud Tora Eliezer ben Yehuda y Gan Yeladim ,,,Jacobo Bear - redactor,Español,Uruguay,Montevideo,Buenos Aires 329,Comunidad Israelita Sefaradí del Uruguay,Revista,1950?,XX,XX,1950,?,,,,,/,,sefaradi,,Harvard
Revista Kesher,,,,Español,Uruguay,Montevideo,,Beit Jabad Uruguay ,,2000s,XX,XX,20XX,,,,,,/,,jabad,,UCLA; Harvard
Revista mensual ,,,,Español,Uruguay,Montevideo,Soriano 1184,Asociacion Hebraica del Uruguay,Revista,1961?,XX,XX,1961,?,,,,,/,monthly,comunitaria,,Harvard
Revista Midu,,,Jaime Tuzman - director,Español,Uruguay,Montevideo,Garibaldi 2594,Mutualista Israelita del Uruguay,Revista,1985,XX,XX,1985,,,,,,/,,medicina,,NLI
Semanario Hebreo,,,"Raúl Blustein y Luis Scudicki, José Fosman (Dirección), con Redacción. 2da epoca José Jerozolimski y desde 2004 Redacción Responsable está a cargo de Jana Jerozolimski (Ana Beris)",Español,Uruguay,Montevideo,Río Branco 1119,Federación Juvenil Sionista,,2 julio 1954; 2da epoca noviembre 1959,07,02,1954,,Diciembre 1956?,12,XX,1956,?,semanal; mensual,,,Harvard; Center for Jewish History CJH (NY); NYPL; UCLA;  HUC; Utexas; IWO; Bib Nac Uruguay
Semanario Hebreo copy,,,"Raúl Blustein y Luis Scudicki, José Fosman (Dirección), con Redacción. 2da epoca José Jerozolimski y desde 2004 Redacción Responsable está a cargo de Jana Jerozolimski (Ana Beris)",Español,Uruguay,Montevideo,Río Branco 1119,Federación Juvenil Sionista,,2 julio 1954; 2da epoca noviembre 1959,11,XX,1959,,,,,,/,semanal; mensual,,Segunda Epoca,Harvard; Center for Jewish History CJH (NY); NYPL; UCLA;  HUC; Utexas; IWO; Bib Nac Uruguay
Semanario hebreo: Una ventana abierta al mundo judio,,,Jacobo Pollak - administrador; Jose Jerozolimski - redactor,Español,Uruguay,Montevideo,Canelones 870,,Diario,1961,XX,XX,1961,,,,,,/,weekly,cultural,,NLI
Semanario Israelita,,Tribuna democratica al servicio de la confraternidad uruguayo-israeli,"editado por José Jerozolimski (Redactor Responsable) y Angel Kalenberg, Administrador",Español,Uruguay,Montevideo,,Semanario Israelita,,5 abril 1957,04,05,1957,,,,,,/,semanal,,,Harvard; British L ibrary
Sendero,,, Luis Markowicz,Español,Uruguay,Montevideo,,"Centro Recordatorio del Holocausto: Sociedad ""Amigos de Yad Vashen""",,septiembre 1996,09,XX,1996,,,,,,/,,holocausto,,UCLA; HUC; NLI; Bib Nac Uruguay
Shajar ,,,,Español,Uruguay,Montevideo,,Comunidad Israelita Sefaradí del Uruguay,,septiembre 1990,09,XX,1990,,,,,,/,,sefaradies,,Harvard; NYPL; LoC; HUC; NLI 
Sholem ,,,,Español,Uruguay,Montevideo,,Sección juventil de la A.C.I.O.R. Jaime Zhitlovsky,,5 septiembre 1953,09,05,1953,,,,,,/,,juventud,,Harvard
Siembra,,,Dina Libman - coordinadora,Español,Uruguay,Montevideo,,"Instituto ""Ariel"" Hebreo-Uruguayo ",Revista,1979?,XX,XX,1979,?,,,,,/,,escolar,,NLI
Sintesis,,,redactora Nella Rost Hollander,Español,Uruguay,Montevideo,Florida 1418,"Instituto Popular de Estudios Judios del Congreso Judio Mundial, Seccion Uruguaya",Revista,septiembre 1954,09,XX,1954,,,,,,/,quaterly,,,NLI; Bib Nac Uruguay
Sion : boletin informativo,,,Jacobo Behar - director,Español,Uruguay,Montevideo,Magallanes 1279,Organización Sionista Sefaradí Dr. Teodoro Herzl,Boletín,1944,XX,XX,1944,,,,,,/,,sionista,,Harvard; Center for Jewish History CJH (NY); BNU
Sucesos de Israel,,,,Español,Uruguay,Montevideo,,,,199?,XX,XX,199X,,,,,,/,,,,Bib Nac Uruguay
Tnuat Alia,,,Herman Baron - redactor,Español,Uruguay,Montevideo,Rio Branco 1208,Tnuat Alia del Uruguay,Boletín,197?,XX,XX,197X,,,,,,/,,sionista,,Harvard
Tribuna cultural,,,redactado por José Wainstein,Español,Uruguay,Montevideo,,órgano del Comité de Ayuda a las Víctimas del Nazismo,,marzo 1936,03,XX,1936,,,,,,/,bimestral,,,IWO
Tribuna hebrea,,,,Español,Uruguay,Montevideo,,Maccabi,,1940,XX,XX,1940,,,,,,/,,sionista,,Harvard; Center for Jewish History CJH (NY)
Tribuna judia independiente,,,,Español,Uruguay,Montevideo,,,,1953,XX,XX,1953,,,,,,/,,,,Bib Nac Uruguay
Un pensamiento para la semana,,,,Español,Uruguay,Montevideo,Leyenda Patria 2880-301,Centro Lubavitch del Uruguay,Boletín,1986?,XX,XX,1986,?,,,,,/,,jabad,,Harvard
Uruguay Israel,,,,Español,Uruguay,Montevideo,,,,1999?,XX,XX,1999,?,,,,,/,,,Continuada por Jai Uruguay Israel,Bib Nac Uruguay
Voz Hebrea,,,Isaac Malinoff ,Español,Uruguay,Montevideo,,,,diciembre 1920,12,XX,1920,,,,,,/,mensual,,,Bib Nac Uruguay
Voz Hebrea,,,"redactado por el Dr. Elias Milies y Carlos Montag, 2da epoca: redactado por Isaac Goldman",Español,Uruguay,,,órgano del Centro Social Israelita,,"20 julio 1933, 2da epoca: enero 1943",07,20,1933,,,,,,/,,,,Bib Nac Uruguay
Voz Hebrea copy,,,"redactado por el Dr. Elias Milies y Carlos Montag, 2da epoca: redactado por Isaac Goldman",Español,Uruguay,,,órgano del Centro Social Israelita,,"20 julio 1933, 2da epoca: enero 1943",01,XX,1943,,,,,,/,,,,Bib Nac Uruguay
Voz semanal ,,,,Español,Uruguay,Montevideo,,Nueva Congregación Israelita de Montevideo,,1938,XX,XX,1938,,1999,XX,XX,1999,,,,,Harvard; NLI
,,,,,,,,,,,,,,,,,,,/,,,,
,,,,,,,,,,,,,,,,,,,/,,,,
אדים : ארגאן פון יידישן ספארט-פארבאנד,Adim : organ fun Yidishn sporṭ-farband,,,Idish,Uruguay,Montevideo,,Asociación Deportiva Israelita de Montevideo,,1939,XX,XX,1939,,,,,,/,,deportiva,ver tambien en español,Harvard; Center for Jewish History CJH (NY)
אומאפהענגיקע יידישע טריבונע : חודשלעכע אויפגאבע פאר לאקאלע און אלוועלטלעכע יידיש פראבלעמען.,Umophengike Yidishe tribune : hoydeshlekhe oyfgabe far loḳale un alṿelṭlekhe Yidishe problemen,Tribuna judia independiente: publicacion mensual para problemas judios,Mauricio Reznikovich - redactor,Idish,Uruguay,Montevideo,Julio H. y Obes 1128,,,25 mayo 1953,05,25,1953,,,,,,/,monthly,cultural,,Center for Jewish History CJH (NY); NLI;  IWO
,Unzer Entfer,Nuestra Respuesta,,Idish,Uruguay,,,,,3 noviembre 1932,11,03,1932,,unico numero,,,,/,,comunista,,
"אונדזער מארגן :
אויסגאבע פון ועד החינוך בא דער יידישער קהילה אין אורוגווי",Undzer Morgn,,,Idish,Uruguay,Montevideo,,"
ועד החינוך בא דער יידישער קהילה אין אורוגווי /
Vaʻad ha-hinukh ba der Yidisher kehileh in Urugvay ",Diario,abril 1951,04,XX,1951,,,,,,/,,,,Harvard
אונזער װארט,Unzer Vort,Nuestra palabra,,Idish,Uruguay,Montevideo,,Fraynt fun Birobidzshan / sociedad de amigos pro- colonización judia en Birobidjan,,septiembre1938,09,XX,1938,,,,,,/,,comunidad Birobidjan,,Harvard; Center for Jewish History CJH (NY)
אונזער ווארט : ביולעטין,Unzer ṿorṭ : byuleṭin,,,Idish,Uruguay,Montevideo,,Keren Kayemet Leisrael,Boletín,1930s,XX,XX,193X,,,,,,/,,sionista,,Center for Jewish History CJH (NY)
,Unzer vort,Nuestra palabra,Schamay Grunberg  / David Markus (segun IWO),"Idish,Español",Uruguay,Montevideo,Rio Branco 1119.,órgano de Poaley Tsyon Hitakhdut en Uruguay ,,1949,XX,XX,1949,,,,,,/,mensual,,,IWO
אונדזער װעג,Undzer veg,Nuestro camino,"dirigida por Shamay Grinberg y Jaime Varzaguer. Después sería redactada por Jaim Lazdeisky
",Idish,Uruguay,Montevideo,,Yidish Poylishn Farband / Sociedad Israelita Polaca,,septiembre 1940,09,XX,1940,,,,,,/,,literatura,,Harvard; LoC; Center for Jewish History CJH (NY)
אונזער װעג,Unzer Weg,Nuestra senda,Samuel Hendel - redactor,Idish,Uruguay,Montevideo,Durazno 1077,ארגאן פון דער פארייניקטער ציוניסטיש רעוויזיאניסטישער ארגאניזאציע אין אורוגווי / Organo de los sionistas revisionistas unidos en el Uruguay para Sudamerica,Diario,junio 1952,06,XX,1952,,,,,,/,irregular,sionismo revisionista,,Harvard; Center for Jewish History CJH (NY); NLI
,Unzer Yugnt,Nuestra juventud,redacción de Joel Gak y Leon Sapiro,Idish,Uruguay,,,Hanoar Hatzioni,,1938,XX,XX,1938,,,,,,/,,juventud sionista,,
,Unzer hilf,Nuestra ayuda,,,Uruguay,Montevideo,,,,1933,XX,XX,1933,,,,,,/,,,,
אונזער ישוב,Undzer yishuv,Nuestra Colectividad,redactado por Leon Halpern,Idish,Uruguay,Montevideo,Durazno 1118, Comunidad Israelita de Montevideo (Kehilá) ,Diario,noviembre 1938,11,XX,1938,,,,,,/,,colectividad,,Harvard
 אונזער לעבן : ספעציעלע אויסגאבע. ,Unzer lebn,Nuestra vida,Isaac Malinov,Idish,Uruguay,Montevideo,Blandengues 1941,,,"Diciembre 1924 ; 2ª Epoca, Abril 1926",12,XX,1924,,1931,XX,XX,1931,,semanal,comunitaria,,Harvard; NLI; IWO; BNU
 אונזער לעבן : ספעציעלע אויסגאבע.  copy,Unzer lebn,Nuestra vida,Isaac Malinov,Idish,Uruguay,Montevideo,Blandengues 1941,,,"Diciembre 1924 ; 2ª Epoca, Abril 1926",04,XX,1926,,,,,,,semanal,comunitaria,,Harvard; NLI; IWO; BNU
